Week,Model,Course,AUROC,AUPRC,Accuracy,F1,recall,precision,balanced_accuracy_score
2,RF,AAA_2014J,0.600519259087034,0.38438520192528,0.7014084507042253,0.24285714285714285,0.16666666666666666,0.4473684210526316,0.5418313570487484
2,RF,BBB_2014J,0.6737504629314709,0.5578744490373801,0.6468973091707853,0.5364095169430425,0.5145228215767634,0.5602409638554217,0.6242923761800028
2,RF,CCC_2014J,0.706378433996607,0.72597085806348,0.6543985637342908,0.7038461538461539,0.7463295269168027,0.665938864628821,0.6441228472907367
2,RF,DDD_2014J,0.7334052674932667,0.7335699944386094,0.659217877094972,0.7027612344342177,0.7828709288299156,0.637524557956778,0.6555019605786407
2,RF,EEE_2014J,0.7136214649064374,0.6032498947331265,0.702626641651032,0.5331369661266568,0.461734693877551,0.6306620209059234,0.6522323321019803
2,RF,FFF_2014J,0.7413956122697748,0.7045945518114438,0.6791546589817483,0.6653306613226453,0.6838311019567456,0.6478048780487805,0.6794493043537103
2,RF,GGG_2014J,0.6146577538846053,0.4364934636495072,0.6427406199021207,0.24742268041237114,0.17061611374407584,0.45,0.530581688712834
2,XGB,AAA_2014J,0.6076881345423545,0.37913422372979344,0.6619718309859155,0.3548387096774194,0.3235294117647059,0.39285714285714285,0.5609741920483609
2,XGB,BBB_2014J,0.6470723835869063,0.5378243181854037,0.613399231191653,0.5452196382428941,0.5836791147994468,0.5115151515151515,0.6083240747039128
2,XGB,CCC_2014J,0.6735590808594882,0.7020814571653577,0.6292639138240574,0.6795965865011637,0.7145187601957586,0.6479289940828402,0.6197344299980789
2,XGB,DDD_2014J,0.7056540558217308,0.7302835694363004,0.6343885785226567,0.6718662952646239,0.7273823884197829,0.6242236024844721,0.6315940075091242
2,XGB,EEE_2014J,0.6935369103130867,0.5761657943902908,0.6707317073170732,0.5301204819277109,0.5051020408163265,0.5577464788732395,0.6360821776781929
2,XGB,FFF_2014J,0.7167784749638713,0.6922765524824679,0.6575408261287223,0.6440339490763854,0.6642636457260556,0.625,0.6579644061213537
2,XGB,GGG_2014J,0.5989837542147085,0.4125847693608774,0.6280587275693311,0.3254437869822485,0.26066350710900477,0.4330708661417323,0.5407795147485323
2,LightGBM,AAA_2014J,0.5775401069518716,0.3617812339019088,0.6676056338028169,0.34444444444444444,0.30392156862745096,0.3974358974358974,0.5590754088196543
2,LightGBM,BBB_2014J,0.6708928845858306,0.5590055503245459,0.6254805052169138,0.5435073627844712,0.5615491009681881,0.5265888456549935,0.6145632572236205
2,LightGBM,CCC_2014J,0.6762722515816654,0.7050839369493958,0.6297127468581688,0.6801085692128732,0.7153344208809136,0.6481892091648189,0.6201422603406563
2,LightGBM,DDD_2014J,0.7165814665930357,0.7319948205309605,0.6492861576660459,0.6904109589041096,0.7599517490952955,0.6325301204819277,0.6459605292791055
2,LightGBM,EEE_2014J,0.7041913946587537,0.5866035041676392,0.6941838649155723,0.5606469002695418,0.5306122448979592,0.5942857142857143,0.6599648761581784
2,LightGBM,FFF_2014J,0.7313495510210135,0.711714741033123,0.6685878962536023,0.6529175050301811,0.6683831101956745,0.6381514257620452,0.6685749934416716
2,LightGBM,GGG_2014J,0.5867817311546533,0.41207144531636397,0.6101141924959217,0.3032069970845481,0.24644549763033174,0.3939393939393939,0.5237202612529768
4,RF,AAA_2014J,0.7137427789601702,0.5838788502873373,0.7647058823529411,0.5058823529411764,0.41346153846153844,0.6515151515151515,0.6612762237762237
4,RF,BBB_2014J,0.6517854887561627,0.5994421664881097,0.5779527559055118,0.5389908256880734,0.6167979002624672,0.4786150712830957,0.584426946631671
4,RF,CCC_2014J,0.8268263943440692,0.8601344538694162,0.742006132282085,0.7388026607538802,0.6543597800471328,0.8482688391038696,0.7534175137859427
4,RF,DDD_2014J,0.8051004567237383,0.8322004644784461,0.7209302325581395,0.7385321100917431,0.762130177514793,0.7163515016685206,0.7194681305824915
4,RF,EEE_2014J,0.7797731195167553,0.7177363875118052,0.7428833792470156,0.6236559139784946,0.5672371638141809,0.6925373134328359,0.7078832877894434
4,RF,FFF_2014J,0.8102381340284566,0.8141371022251089,0.7321937321937322,0.7119509703779366,0.704040404040404,0.7200413223140496,0.730604431410883
4,RF,GGG_2014J,0.5999486863711002,0.4580925702557391,0.647239263803681,0.29012345679012347,0.2025862068965517,0.5108695652173914,0.5477216748768473
4,XGB,AAA_2014J,0.6793858315597446,0.5172439542619433,0.7086834733893558,0.4639175257731959,0.4326923076923077,0.5,0.6274133475220431
4,XGB,BBB_2014J,0.6182106993843617,0.49357911790756814,0.5669291338582677,0.5528455284552846,0.6692913385826772,0.4709141274238227,0.583989501312336
4,XGB,CCC_2014J,0.7940212952952796,0.8315586461554969,0.718353044240035,0.7294909549852756,0.6810683424980362,0.7853260869565217,0.7232074385757508
4,XGB,DDD_2014J,0.7848703699537276,0.8115375396598885,0.6909424724602203,0.7138810198300283,0.7455621301775148,0.6847826086956522,0.689004132262395
4,XGB,EEE_2014J,0.7492413346756797,0.6867865331088152,0.6887052341597796,0.5910735826296744,0.5990220048899756,0.5833333333333334,0.6708345318567526
4,XGB,FFF_2014J,0.7904194272473843,0.80040552749909,0.7169990503323836,0.7064039408866996,0.7242424242424242,0.6894230769230769,0.7174079504724666
4,XGB,GGG_2014J,0.5713669950738917,0.4192275982293403,0.6134969325153374,0.37,0.31896551724137934,0.44047619047619047,0.5475779967159278
4,LightGBM,AAA_2014J,0.7023031316509578,0.5466729252228312,0.7170868347338936,0.45989304812834225,0.41346153846153844,0.5180722891566265,0.6276793858315597
4,LightGBM,BBB_2014J,0.6250668797633891,0.5093002159955501,0.573753280839895,0.5543358946212953,0.6627296587926509,0.47641509433962265,0.5885826771653544
4,LightGBM,CCC_2014J,0.8028824092149984,0.8445844529212115,0.7209811651335961,0.7326898866974402,0.6857816182246661,0.7864864864864864,0.7255640764390657
4,LightGBM,DDD_2014J,0.7969086777510292,0.8300788282537679,0.7068543451652387,0.7267541357672561,0.7538461538461538,0.7015418502202643,0.7051867017646485
4,LightGBM,EEE_2014J,0.7526211707176758,0.6861150924014899,0.7024793388429752,0.595,0.5819070904645477,0.6086956521739131,0.6784535452322739
4,LightGBM,FFF_2014J,0.8029406972955361,0.8088407503287982,0.7255460588793922,0.711864406779661,0.7212121212121212,0.702755905511811,0.7253014011078527
4,LightGBM,GGG_2014J,0.5751539408866995,0.4161658076561645,0.6226993865030674,0.35602094240837695,0.29310344827586204,0.4533333333333333,0.5489326765188834
6,RF,AAA_2014J,0.6920986622073579,0.5800354939350251,0.7535014005602241,0.4567901234567901,0.3557692307692308,0.6379310344827587,0.6363826391000305
6,RF,BBB_2014J,0.6655344492322299,0.6158771522001835,0.5858638743455498,0.5568627450980392,0.6488250652741514,0.48773307163886165,0.5962656794902226
6,RF,CCC_2014J,0.8553462613281979,0.892687037768137,0.7640645442651548,0.7642701525054466,0.6840873634945398,0.8657453109575518,0.7747835432705142
6,RF,DDD_2014J,0.8453375029854311,0.873645313287005,0.7631257631257631,0.7604938271604939,0.7264150943396226,0.7979274611398963,0.7644733699546213
6,RF,EEE_2014J,0.8285886291449172,0.8070506847216783,0.7967032967032966,0.7008086253369272,0.6326034063260341,0.7854984894259819,0.7641724814302711
6,RF,FFF_2014J,0.82940398255699,0.8343073719613676,0.7501183151916706,0.7338709677419355,0.7301905717151455,0.7375886524822695,0.7490558593342752
6,RF,GGG_2014J,0.6102545698152932,0.47375766054321183,0.649331352154532,0.313953488372093,0.2222222222222222,0.5346534653465347,0.5564599483204135
6,XGB,AAA_2014J,0.6794998479781088,0.5197213490593281,0.7086834733893558,0.4583333333333333,0.4230769230769231,0.5,0.6245819397993311
6,XGB,BBB_2014J,0.6359636610126167,0.5344132489791336,0.5722513089005236,0.5769031589849819,0.7271540469973891,0.4781115879828326,0.5978427577644287
6,XGB,CCC_2014J,0.8270028130502076,0.8724330168813335,0.7422590492804186,0.7429317094388864,0.6661466458658346,0.839724680432645,0.7524600687291587
6,XGB,DDD_2014J,0.8163153809410078,0.850691319823202,0.7222222222222222,0.7263980757666867,0.7122641509433962,0.7411042944785277,0.7225877716742297
6,XGB,EEE_2014J,0.8004937636437042,0.7765483043205827,0.7710622710622711,0.6794871794871795,0.6447688564476886,0.7181571815718157,0.7460261316012304
6,XGB,FFF_2014J,0.8062556846165738,0.8164051645711877,0.7165168007572172,0.703318474492323,0.7121364092276831,0.6947162426614482,0.7162832583772825
6,XGB,GGG_2014J,0.6049382716049383,0.4701583772884792,0.6151560178306092,0.4018475750577367,0.35802469135802467,0.45789473684210524,0.5592449038185472
6,LightGBM,AAA_2014J,0.6936378838552753,0.5539008311723866,0.7310924369747899,0.4725274725274725,0.41346153846153844,0.5512820512820513,0.6375608087564609
6,LightGBM,BBB_2014J,0.6601265086088846,0.594398791466035,0.5753926701570681,0.5747246984792869,0.7154046997389034,0.4802804557405784,0.59852402819113
6,LightGBM,CCC_2014J,0.8318419383659619,0.8781170256651187,0.7457479284779764,0.7494628276751182,0.6801872074882995,0.8344497607655502,0.7545347511229826
6,LightGBM,DDD_2014J,0.8265524241700501,0.8604363974286843,0.7332112332112332,0.7365883062085594,0.7205188679245284,0.7533908754623921,0.7336771554812516
6,LightGBM,EEE_2014J,0.8023587753804159,0.7824815065800291,0.7673992673992674,0.6735218508997429,0.6374695863746959,0.7138964577656676,0.7416422821741321
6,LightGBM,FFF_2014J,0.8172546312773445,0.824745064558656,0.7316611452910554,0.7197231833910035,0.7301905717151455,0.7095516569200779,0.7315827410547053
6,LightGBM,GGG_2014J,0.6030337831371423,0.45300660666179104,0.6092124814264487,0.3569682151589242,0.3004115226337449,0.4397590361445783,0.5420662264331515
8,RF,AAA_2014J,0.7638339920948617,0.6392644429234031,0.7675070028011205,0.49696969696969695,0.3942307692307692,0.6721311475409836,0.6575896929157798
8,RF,BBB_2014J,0.7666276495354238,0.7337056888773111,0.6242171189979123,0.6269430051813472,0.7877604166666666,0.5206540447504303,0.6512843895180023
8,RF,CCC_2014J,0.8572775107404366,0.8965881934533428,0.7666521549847627,0.7675628794449263,0.6892523364485982,0.8659491193737769,0.7770052402874777
8,RF,DDD_2014J,0.8558348615646107,0.8847375002445711,0.7718120805369127,0.7679900744416873,0.7290930506478209,0.8112712975098296,0.7734072848175814
8,RF,EEE_2014J,0.8399094448778646,0.8224630768569663,0.7961608775137111,0.6965986394557823,0.6228710462287105,0.7901234567901234,0.761655142440856
8,RF,FFF_2014J,0.8784043900531355,0.8880969040445141,0.8070921985815603,0.7872784150156413,0.7557557557557557,0.8215451577801959,0.8044011753689173
8,RF,GGG_2014J,0.6689236353483177,0.5209548841206189,0.6686217008797654,0.39572192513368987,0.29959514170040485,0.5826771653543307,0.5888780306203174
8,XGB,AAA_2014J,0.7200516874429918,0.5559266212927131,0.7478991596638656,0.5,0.4326923076923077,0.5921052631578947,0.6550813317117665
8,XGB,BBB_2014J,0.7315547646268874,0.6747639354364325,0.5563674321503131,0.6167718665464382,0.890625,0.47172413793103446,0.6116888066202091
8,XGB,CCC_2014J,0.8240967115965963,0.8724217287771363,0.7361776229865041,0.7438715131022823,0.6853582554517134,0.8133086876155268,0.742975277775215
8,XGB,DDD_2014J,0.8295328830642156,0.8625335539661795,0.7413056741915802,0.7398773006134969,0.7102473498233216,0.7720870678617158,0.7424654470635595
8,XGB,EEE_2014J,0.8113696195046185,0.7939773284252665,0.7641681901279708,0.6675257731958762,0.6301703163017032,0.7095890410958904,0.7374863294539262
8,XGB,FFF_2014J,0.8614268390254054,0.8735773068496395,0.7839243498817967,0.7676664972038637,0.7557557557557557,0.7799586776859504,0.7824477703509961
8,XGB,GGG_2014J,0.6426543813113686,0.4887520756239261,0.6319648093841642,0.42298850574712643,0.3724696356275304,0.48936170212765956,0.5758899902275583
8,LightGBM,AAA_2014J,0.7343037397385223,0.617777411498294,0.7563025210084033,0.5084745762711864,0.4326923076923077,0.6164383561643836,0.6610101854667072
8,LightGBM,BBB_2014J,0.7321099647938443,0.6839437709664373,0.5673277661795407,0.6167360147942672,0.8684895833333334,0.47813620071684587,0.6171716209349594
8,LightGBM,CCC_2014J,0.8298767117811134,0.8783912223797712,0.7379190248149761,0.7466329966329966,0.690809968847352,0.8122710622710623,0.7442203842262427
8,LightGBM,DDD_2014J,0.842437118874029,0.8759571701239971,0.7614399023794997,0.7578947368421053,0.7208480565371025,0.7989556135770235,0.7629556738381715
8,LightGBM,EEE_2014J,0.8119253472407761,0.8003408220232184,0.779707495429616,0.6857887874837028,0.6399026763990268,0.7387640449438202,0.7518693469842864
8,LightGBM,FFF_2014J,0.8701021810340808,0.8814182415638475,0.7981087470449173,0.7795560144553433,0.7557557557557557,0.8049040511727079,0.79588863056605
8,LightGBM,GGG_2014J,0.6475312950812044,0.48531930494204745,0.6495601173020528,0.42409638554216866,0.3562753036437247,0.5238095238095238,0.5861836288333566
